,Address,City,Postcode,Price,Rooms,Link,DateLastUpdated,EstimatedAnnualRent,Gross_Yield_%,Net_Yield_%,Avg_Sold_Price_2024
58,"James Street, Birmingham","Birmingham, UK",B1,270950.0,2,https://rightmove.co.uk/properties/143917445#/?channel=RES_BUY,2025-07-08,16830.0,6.21,0.45,333176.46496815287
59,"Wexler Lofts, 100 Carver Street, Jewellery Quarter","Birmingham, UK",B1,280000.0,2,https://rightmove.co.uk/properties/161166824#/?channel=RES_BUY,2025-07-08,16830.0,6.01,0.28,333176.46496815287
60,"Windmill Street, BIRMINGHAM","Birmingham, UK",B1,274990.0,2,https://rightmove.co.uk/properties/160839236#/?channel=RES_BUY,2025-07-07,16830.0,6.12,0.37,333176.46496815287
61,"Sheepcote Street, Birmingham, B16","Birmingham, UK",B1,255000.0,2,https://rightmove.co.uk/properties/160517564#/?channel=RES_BUY,2025-07-07,16830.0,6.6,0.78,333176.46496815287
62,"The Axium, Windmill Street, Birmingham, B1","Birmingham, UK",B1,274990.0,2,https://rightmove.co.uk/properties/161202242#/?channel=RES_BUY,2025-07-07,16830.0,6.12,0.37,333176.46496815287
63,"Bell Barn Road, Birmingham, B15","Birmingham, UK",B1,260000.0,2,https://rightmove.co.uk/properties/162833186#/?channel=RES_BUY,2025-07-04,16830.0,6.47,0.67,333176.46496815287
64,"Camden Street, Birmingham","Birmingham, UK",B1,260000.0,1,https://rightmove.co.uk/properties/164081462#/?channel=RES_BUY,2025-07-02,12556.363636363636,4.83,-0.73,333176.46496815287
65,"Camden Village, 81 Camden Street, Jewellery Quarter","Birmingham, UK",B1,250000.0,2,https://rightmove.co.uk/properties/163940411#/?channel=RES_BUY,2025-06-30,16830.0,6.73,0.89,333176.46496815287
66,"Essex Street, Birmingham, West Midlands, B5","Birmingham, UK",B1,260000.0,2,https://rightmove.co.uk/properties/163814588#/?channel=RES_BUY,2025-06-26,16830.0,6.47,0.67,333176.46496815287
67,"JQ Rise, Goodman Street, Birmingham","Birmingham, UK",B1,300000.0,2,https://rightmove.co.uk/properties/163768499#/?channel=RES_BUY,2025-06-25,16830.0,5.61,-0.07,333176.46496815287
68,"Apartment , Birmingham","Birmingham, UK",B1,275000.0,2,https://rightmove.co.uk/properties/161959055#/?channel=RES_BUY,2025-06-24,16830.0,6.12,0.37,333176.46496815287
69,"The Lightwell, 61 Cornwall Street, Birmingham B3 2EE","Birmingham, UK",B1,290000.0,2,https://rightmove.co.uk/properties/160404032#/?channel=RES_BUY,2025-06-20,16830.0,5.8,0.1,333176.46496815287
70,"The Cube East, Wharfside Street, Birmingham","Birmingham, UK",B1,280000.0,2,https://rightmove.co.uk/properties/155496884#/?channel=RES_BUY,2024-11-29,16830.0,6.01,0.28,333176.46496815287
71,"Ludgate Lofts Apartments, 17 Ludgate Hill, Jewellery Quarter","Birmingham, UK",B1,299950.0,1,https://rightmove.co.uk/properties/162327401#/?channel=RES_BUY,2025-06-17,12556.363636363636,4.19,-1.28,333176.46496815287
72,"The Gothic, 4-6 Great Hampton Street, Birmingham, B18","Birmingham, UK",B1,250000.0,2,https://rightmove.co.uk/properties/163268957#/?channel=RES_BUY,2025-06-13,16830.0,6.73,0.89,333176.46496815287
73,"Waterfront Walk, Birmingham, West Midlands, B1","Birmingham, UK",B1,285000.0,2,https://rightmove.co.uk/properties/163244336#/?channel=RES_BUY,2025-06-12,16830.0,5.91,0.19,333176.46496815287
74,"New Hampton Lofts, 99 Branston Street, Jewellery Quarter, Birmingham, B18","Birmingham, UK",B1,260000.0,2,https://rightmove.co.uk/properties/151032944#/?channel=RES_BUY,2025-06-11,16830.0,6.47,0.67,333176.46496815287
75,"Suffolk Street Queensway, Birmingham, B1","Birmingham, UK",B1,250000.0,2,https://rightmove.co.uk/properties/161827415#/?channel=RES_BUY,2025-06-09,16830.0,6.73,0.89,333176.46496815287
76,"The Quadrant, Birmingham B1","Birmingham, UK",B1,300000.0,2,https://rightmove.co.uk/properties/163051250#/?channel=RES_BUY,2025-06-09,16830.0,5.61,-0.07,333176.46496815287
77,"Broad Street, Birmingham","Birmingham, UK",B15,270000.0,1,https://rightmove.co.uk/properties/149104559#/?channel=RES_BUY,2024-06-13,14020.800000000001,5.19,-0.42,414366.5696969697
78,"Roosevelt Apartments, 1 Lexington Gardens, Park Central","Birmingham, UK",B15,250000.0,2,https://rightmove.co.uk/properties/164609795#/?channel=RES_BUY,2025-07-16,14562.857142857145,5.83,0.12,414366.5696969697
79,"Roosevelt Apartments, 1 Lexington Gardens, Birmingham, B15","Birmingham, UK",B15,272000.0,2,https://rightmove.co.uk/properties/164608520#/?channel=RES_BUY,2025-07-16,14562.857142857145,5.35,-0.28,414366.5696969697
